"Borough","BreedName","n"
"Bronx","Yorkshire Terrier",782
"Bronx","Shih Tzu",678
"Bronx","Chihuahua",507
"Bronx","American Pit Bull Terrier/Pit Bull",376
"Bronx","American Pit Bull Mix / Pit Bull Mix",329
"Bronx","Maltese",321
"Bronx","Labrador Retriever",172
"Bronx","Shih Tzu Crossbreed",168
"Bronx","Pomeranian",149
"Bronx","German Shepherd Dog",141
"Brooklyn","Yorkshire Terrier",1290
"Brooklyn","Shih Tzu",1201
"Brooklyn","Chihuahua",916
"Brooklyn","American Pit Bull Mix / Pit Bull Mix",628
"Brooklyn","Labrador Retriever",580
"Brooklyn","Maltese",575
"Brooklyn","American Pit Bull Terrier/Pit Bull",528
"Brooklyn","Labrador Retriever Crossbreed",486
"Brooklyn","Pomeranian",344
"Brooklyn","German Shepherd Crossbreed",332
"Manhattan","Yorkshire Terrier",1289
"Manhattan","Chihuahua",1207
"Manhattan","Shih Tzu",1086
"Manhattan","Labrador Retriever",951
"Manhattan","Havanese",776
"Manhattan","Maltese",745
"Manhattan","Labrador Retriever Crossbreed",593
"Manhattan","Golden Retriever",550
"Manhattan","Cavalier King Charles Spaniel",508
"Manhattan","French Bulldog",476
"Queens","Yorkshire Terrier",1069
"Queens","Shih Tzu",994
"Queens","Maltese",749
"Queens","Chihuahua",737
"Queens","Labrador Retriever",462
"Queens","American Pit Bull Mix / Pit Bull Mix",401
"Queens","American Pit Bull Terrier/Pit Bull",396
"Queens","Beagle",366
"Queens","Pomeranian",356
"Queens","German Shepherd Dog",353
"Staten Island","Shih Tzu",528
"Staten Island","Yorkshire Terrier",513
"Staten Island","Labrador Retriever",375
"Staten Island","Maltese",285
"Staten Island","Chihuahua",248
"Staten Island","American Pit Bull Mix / Pit Bull Mix",220
"Staten Island","Labrador Retriever Crossbreed",198
"Staten Island","German Shepherd Dog",197
"Staten Island","American Pit Bull Terrier/Pit Bull",180
"Staten Island","Beagle",154
